Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
367.0,18.0,18.0,37.0,,Main Dish,0,,Baking,145,1,0,1,0,1,0,1,0
292.0,3.0,16.0,36.0,,Dessert,0,,Baking,40,1,1,0,0,0,0,1,1
124.0,4.0,5.0,16.0,Lunch,Side Dish,0,,Freezing,10,1,0,0,0,0,0,0,0
212.0,2.0,0.0,54.0,,Dessert,0,,Boiling,55,0,1,0,0,0,0,0,0
22.0,1.0,1.0,2.0,,,0,,Raw Food,5,1,0,0,0,0,0,0,0
539.0,25.0,35.0,36.0,,Main Dish,0,,Frying,28,0,0,0,0,0,1,1,0
659.0,44.0,50.0,7.0,Breakfast,Main Dish,0,,Smoking,15,1,0,1,1,0,0,1,0
215.0,3.0,10.0,32.0,,Dessert,0,,Microwave,40,0,0,0,0,0,0,0,1
442.0,16.0,33.0,22.0,Lunch,Soup,0,,Raw Food,5,1,0,1,0,0,1,0,0
565.0,31.0,11.0,91.0,,,0,,Boiling,20,1,0,0,1,0,1,0,0
272.0,29.0,4.0,37.0,,Main Dish,1,,Microwave,35,1,0,1,0,0,0,1,0
105.0,1.0,1.0,27.0,Snack,Appetizer,1,,Freezing,150,0,1,0,0,0,0,0,0
162.0,3.0,5.0,28.0,,Side Dish,0,,Baking,0,1,0,0,0,0,0,0,0
603.0,30.0,33.0,50.0,Breakfast,,0,,Baking,45,1,0,1,0,0,1,1,0
182.0,15.0,12.0,2.0,Lunch,Main Dish,0,,Boiling,0,0,0,1,0,0,0,0,0
521.0,12.0,22.0,71.0,Breakfast,Dessert,0,,Baking,340,0,0,0,0,0,1,1,0
74.0,1.0,2.0,13.0,,Dessert,1,,Baking,28,1,0,0,0,0,0,1,1
953.0,57.0,34.0,112.0,,,0,,Boiling,30,0,0,1,0,0,1,1,0
55.0,2.0,2.0,8.0,,Side Dish,1,,Frying,25,1,0,0,0,0,0,0,0
286.0,13.0,16.0,23.0,,Main Dish,0,,Baking,15,0,0,0,0,0,1,1,0
109.0,3.0,2.0,19.0,,Dessert,0,,Freezing,310,0,0,0,0,0,1,0,0
437.0,21.0,32.0,15.0,,Soup,0,,Stewing,235,1,0,1,0,0,0,1,0
480.0,15.0,28.0,43.0,,,0,,Stewing,35,0,0,1,0,0,0,0,0
461.0,13.0,11.0,72.0,,,0,Vegetarian,Stewing,40,1,1,0,0,0,1,0,0
315.0,28.0,13.0,26.0,,Main Dish,0,,Frying,50,1,0,1,0,0,0,0,0
409.0,10.0,23.0,47.0,,Dessert,1,,Baking,55,0,0,0,0,0,1,0,1
534.0,25.0,29.0,42.0,,,0,,Baking,50,0,0,1,0,0,1,1,0
589.0,9.0,31.0,71.0,,Dessert,0,,Baking,145,0,1,0,0,0,1,1,0
836.0,13.0,48.0,95.0,,Dessert,0,,Microwave,10,0,0,0,0,0,1,1,0
371.0,17.0,8.0,58.0,,Main Dish,0,Vegetarian,Boiling,15,1,0,0,0,1,0,0,0
157.0,2.0,14.0,8.0,,Salad,1,,Raw Food,10,1,0,0,0,0,0,0,0
233.0,5.0,1.0,59.0,Lunch,Side Dish,1,,Baking,30,0,1,0,0,0,0,0,0
274.0,11.0,9.0,42.0,Breakfast,,0,,Frying,0,1,1,0,0,0,1,1,1
410.0,16.0,15.0,57.0,Breakfast,,0,,Baking,30,1,0,0,0,0,1,1,0
27.0,0.0,2.0,3.0,,Side Dish,0,,Stewing,10,1,0,0,0,0,0,0,0
685.0,39.0,35.0,51.0,Snack,Main Dish,0,,Boiling,20,1,0,1,0,0,1,1,0
223.0,4.0,23.0,2.0,,Side Dish,0,,Raw Food,10,1,0,0,0,0,1,0,1
273.0,11.0,2.0,54.0,Breakfast,,0,,Frying,50,0,1,0,0,0,0,1,0
259.0,9.0,7.0,37.0,Breakfast,,0,,Baking,45,0,0,0,0,0,1,0,0
86.0,1.0,3.0,14.0,Snack,Appetizer,0,,Stewing,5,0,1,0,0,0,1,0,0
725.0,10.0,53.0,57.0,,Dessert,0,,Freezing,370,0,0,0,0,0,1,0,0
28.0,1.0,1.0,4.0,,Dessert,0,,Freezing,485,0,0,0,0,0,1,0,0
114.0,3.0,8.0,8.0,,Dessert,0,,Microwave,20,0,0,0,0,0,0,0,0
200.0,4.0,4.0,41.0,,Dessert,0,,Freezing,125,0,1,0,0,0,1,0,0
228.0,8.0,10.0,32.0,Breakfast,,1,,Frying,10,0,1,0,0,0,0,0,0
682.0,9.0,41.0,74.0,,Dessert,0,,Baking,5,0,0,0,0,0,1,0,0
446.0,20.0,24.0,37.0,,Main Dish,0,,Microwave,5,0,0,0,0,0,1,1,0
686.0,36.0,27.0,75.0,Dinner,Main Dish,0,,Frying,20,1,0,1,0,0,0,0,0
222.0,4.0,16.0,17.0,,Side Dish,0,,Raw Food,25,1,0,0,0,0,0,0,1
404.0,31.0,12.0,43.0,Dinner,Main Dish,0,,Boiling,31,1,0,1,0,0,1,0,0
449.0,14.0,37.0,18.0,,Side Dish,0,,Microwave,25,1,0,1,0,0,1,0,0
402.0,26.0,15.0,43.0,,Main Dish,0,,Raw Food,20,1,0,0,1,0,0,1,0
387.0,14.0,5.0,72.0,,,0,,Raw Food,25,1,1,0,0,1,0,0,1
149.0,1.0,7.0,21.0,,Dessert,0,,Freezing,15,0,1,0,0,0,1,0,0
382.0,32.0,16.0,24.0,,Main Dish,0,,Smoking,465,0,0,1,0,0,0,0,0
748.0,15.0,38.0,88.0,,Dessert,0,,Baking,40,0,0,0,0,0,1,1,0
426.0,18.0,25.0,33.0,,Main Dish,0,Vegetarian,Baking,40,1,0,0,0,0,1,1,0
173.0,17.0,5.0,14.0,Snack,Appetizer,0,,Baking,20,0,0,1,0,0,0,0,0
235.0,7.0,10.0,32.0,,,0,,Boiling,15,1,0,0,0,0,0,0,0
439.0,4.0,19.0,66.0,,Dessert,0,,Baking,55,0,1,0,0,0,0,0,0
151.0,4.0,11.0,9.0,,Dessert,0,,Baking,300,0,0,0,0,0,1,0,0
190.0,4.0,8.0,26.0,Breakfast,,0,,Baking,20,0,0,0,0,0,1,1,0
169.0,7.0,9.0,16.0,Breakfast,,1,,Baking,20,0,1,0,0,0,0,0,0
98.0,3.0,6.0,11.0,,Dessert,0,,Baking,25,0,0,0,0,0,0,0,0
147.0,1.0,10.0,13.0,,Dessert,0,,Baking,30,0,0,0,0,0,0,0,0
167.0,11.0,11.0,6.0,,Main Dish,0,,Freezing,125,0,0,1,0,0,0,0,0
844.0,8.0,48.0,100.0,,Dessert,0,,Baking,120,1,1,0,0,0,1,1,1
78.0,1.0,4.0,11.0,,Dessert,0,,Microwave,188,0,0,0,0,0,1,0,0
355.0,11.0,8.0,66.0,,Side Dish,0,,Baking,10,0,0,0,0,0,0,0,0
171.0,8.0,3.0,31.0,,Side Dish,0,,Baking,120,1,0,1,0,0,0,0,0
159.0,7.0,13.0,5.0,Snack,Appetizer,0,,Steaming,25,1,0,0,0,0,1,0,0
