Calories,Protein,Fat,Carbs,Meal,Course,Healthy,Special Nutrition,Cooking Methods,"time, mins",Vegetables,Fruits,Meat,Seafood,Mushrooms,Dairy,Grains,Nuts
367.0,18.0,18.0,37.0,4,2,0,2,0,145,1,0,1,0,1,0,1,0
292.0,3.0,16.0,36.0,4,1,0,2,0,40,1,1,0,0,0,0,1,1
124.0,4.0,5.0,16.0,2,4,0,2,2,10,1,0,0,0,0,0,0,0
212.0,2.0,0.0,54.0,4,1,0,2,1,55,0,1,0,0,0,0,0,0
22.0,1.0,1.0,2.0,4,6,0,2,6,5,1,0,0,0,0,0,0,0
539.0,25.0,35.0,36.0,4,2,0,2,3,28,0,0,0,0,0,1,1,0
659.0,44.0,50.0,7.0,0,2,0,2,7,15,1,0,1,1,0,0,1,0
215.0,3.0,10.0,32.0,4,1,0,2,5,40,0,0,0,0,0,0,0,1
442.0,16.0,33.0,22.0,2,5,0,2,6,5,1,0,1,0,0,1,0,0
565.0,31.0,11.0,91.0,4,6,0,2,1,20,1,0,0,1,0,1,0,0
272.0,29.0,4.0,37.0,4,2,1,2,5,35,1,0,1,0,0,0,1,0
105.0,1.0,1.0,27.0,3,0,1,2,2,150,0,1,0,0,0,0,0,0
162.0,3.0,5.0,28.0,4,4,0,2,0,0,1,0,0,0,0,0,0,0
603.0,30.0,33.0,50.0,0,6,0,2,0,45,1,0,1,0,0,1,1,0
182.0,15.0,12.0,2.0,2,2,0,2,1,0,0,0,1,0,0,0,0,0
521.0,12.0,22.0,71.0,0,1,0,2,0,340,0,0,0,0,0,1,1,0
74.0,1.0,2.0,13.0,4,1,1,2,0,28,1,0,0,0,0,0,1,1
953.0,57.0,34.0,112.0,4,6,0,2,1,30,0,0,1,0,0,1,1,0
55.0,2.0,2.0,8.0,4,4,1,2,3,25,1,0,0,0,0,0,0,0
286.0,13.0,16.0,23.0,4,2,0,2,0,15,0,0,0,0,0,1,1,0
109.0,3.0,2.0,19.0,4,1,0,2,2,310,0,0,0,0,0,1,0,0
437.0,21.0,32.0,15.0,4,5,0,2,10,235,1,0,1,0,0,0,1,0
480.0,15.0,28.0,43.0,4,6,0,2,10,35,0,0,1,0,0,0,0,0
461.0,13.0,11.0,72.0,4,6,0,1,10,40,1,1,0,0,0,1,0,0
315.0,28.0,13.0,26.0,4,2,0,2,3,50,1,0,1,0,0,0,0,0
409.0,10.0,23.0,47.0,4,1,1,2,0,55,0,0,0,0,0,1,0,1
534.0,25.0,29.0,42.0,4,6,0,2,0,50,0,0,1,0,0,1,1,0
589.0,9.0,31.0,71.0,4,1,0,2,0,145,0,1,0,0,0,1,1,0
836.0,13.0,48.0,95.0,4,1,0,2,5,10,0,0,0,0,0,1,1,0
371.0,17.0,8.0,58.0,4,2,0,1,1,15,1,0,0,0,1,0,0,0
157.0,2.0,14.0,8.0,4,3,1,2,6,10,1,0,0,0,0,0,0,0
233.0,5.0,1.0,59.0,2,4,1,2,0,30,0,1,0,0,0,0,0,0
274.0,11.0,9.0,42.0,0,6,0,2,3,0,1,1,0,0,0,1,1,1
410.0,16.0,15.0,57.0,0,6,0,2,0,30,1,0,0,0,0,1,1,0
27.0,0.0,2.0,3.0,4,4,0,2,10,10,1,0,0,0,0,0,0,0
685.0,39.0,35.0,51.0,3,2,0,2,1,20,1,0,1,0,0,1,1,0
223.0,4.0,23.0,2.0,4,4,0,2,6,10,1,0,0,0,0,1,0,1
273.0,11.0,2.0,54.0,0,6,0,2,3,50,0,1,0,0,0,0,1,0
259.0,9.0,7.0,37.0,0,6,0,2,0,45,0,0,0,0,0,1,0,0
86.0,1.0,3.0,14.0,3,0,0,2,10,5,0,1,0,0,0,1,0,0
725.0,10.0,53.0,57.0,4,1,0,2,2,370,0,0,0,0,0,1,0,0
28.0,1.0,1.0,4.0,4,1,0,2,2,485,0,0,0,0,0,1,0,0
114.0,3.0,8.0,8.0,4,1,0,2,5,20,0,0,0,0,0,0,0,0
200.0,4.0,4.0,41.0,4,1,0,2,2,125,0,1,0,0,0,1,0,0
228.0,8.0,10.0,32.0,0,6,1,2,3,10,0,1,0,0,0,0,0,0
682.0,9.0,41.0,74.0,4,1,0,2,0,5,0,0,0,0,0,1,0,0
446.0,20.0,24.0,37.0,4,2,0,2,5,5,0,0,0,0,0,1,1,0
686.0,36.0,27.0,75.0,1,2,0,2,3,20,1,0,1,0,0,0,0,0
222.0,4.0,16.0,17.0,4,4,0,2,6,25,1,0,0,0,0,0,0,1
404.0,31.0,12.0,43.0,1,2,0,2,1,31,1,0,1,0,0,1,0,0
449.0,14.0,37.0,18.0,4,4,0,2,5,25,1,0,1,0,0,1,0,0
402.0,26.0,15.0,43.0,4,2,0,2,6,20,1,0,0,1,0,0,1,0
387.0,14.0,5.0,72.0,4,6,0,2,6,25,1,1,0,0,1,0,0,1
149.0,1.0,7.0,21.0,4,1,0,2,2,15,0,1,0,0,0,1,0,0
382.0,32.0,16.0,24.0,4,2,0,2,7,465,0,0,1,0,0,0,0,0
748.0,15.0,38.0,88.0,4,1,0,2,0,40,0,0,0,0,0,1,1,0
426.0,18.0,25.0,33.0,4,2,0,1,0,40,1,0,0,0,0,1,1,0
173.0,17.0,5.0,14.0,3,0,0,2,0,20,0,0,1,0,0,0,0,0
235.0,7.0,10.0,32.0,4,6,0,2,1,15,1,0,0,0,0,0,0,0
439.0,4.0,19.0,66.0,4,1,0,2,0,55,0,1,0,0,0,0,0,0
151.0,4.0,11.0,9.0,4,1,0,2,0,300,0,0,0,0,0,1,0,0
190.0,4.0,8.0,26.0,0,6,0,2,0,20,0,0,0,0,0,1,1,0
169.0,7.0,9.0,16.0,0,6,1,2,0,20,0,1,0,0,0,0,0,0
98.0,3.0,6.0,11.0,4,1,0,2,0,25,0,0,0,0,0,0,0,0
